Region Code,Region Name,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,within_18_per,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y61,EAST OF ENGLAND COMMISSIONING REGION,Rheumatology Service,15060,9921,0.66,65.88,11.96183206,39.182,361,1,65
Y61,EAST OF ENGLAND COMMISSIONING REGION,Elderly Medicine Service,2236,1703,0.76,76.16,8.939393939,34.41454545,29,0,3
Y61,EAST OF ENGLAND COMMISSIONING REGION,Gynaecology Service,68708,35623,0.52,51.85,17.12361878,50.15185355,4721,176,1227
Y61,EAST OF ENGLAND COMMISSIONING REGION,Other - Medical Services,69271,42887,0.62,61.91,12.93261099,43.70954455,2396,9,367
Y61,EAST OF ENGLAND COMMISSIONING REGION,Other - Mental Health Services,266,162,0.61,60.90,14,32.68,1,0,1
Y61,EAST OF ENGLAND COMMISSIONING REGION,Other - Paediatric Services,35439,20597,0.58,58.12,14.52944641,49.00803419,2206,33,478
Y61,EAST OF ENGLAND COMMISSIONING REGION,Other - Surgical Services,37066,22475,0.61,60.64,13.34576271,46.2698008,1799,25,371
Y61,EAST OF ENGLAND COMMISSIONING REGION,Other - Other Services,29529,18834,0.64,63.78,12.03624856,44.24549451,1013,8,128
Y61,EAST OF ENGLAND COMMISSIONING REGION,Total,927210,513621,0.55,55.39,15.6552096,48.10466723,53104,904,11561
Y62,NORTH WEST COMMISSIONING REGION,General Surgery Service,58241,31664,0.54,54.37,16.02306489,48.12610329,3084,14,450
Y62,NORTH WEST COMMISSIONING REGION,Urology Service,55690,31745,0.57,57.00,15.0996337,45.89546667,2423,9,323
Y62,NORTH WEST COMMISSIONING REGION,Trauma and Orthopaedic Service,112414,64629,0.57,57.49,14.68323917,46.306794,5120,32,806
Y62,NORTH WEST COMMISSIONING REGION,Ear Nose and Throat Service,89433,46270,0.52,51.74,17.26894118,50.16826087,5962,34,745
Y62,NORTH WEST COMMISSIONING REGION,Ophthalmology Service,76399,48155,0.63,63.03,12.59565014,42.94101806,2330,24,209
Y62,NORTH WEST COMMISSIONING REGION,Oral Surgery Service,54221,24482,0.45,45.15,20.16023339,52.74875362,4596,4,654
Y62,NORTH WEST COMMISSIONING REGION,Neurosurgical Service,654,380,0.58,58.10,14.76923077,42.56,26,1,6
Y62,NORTH WEST COMMISSIONING REGION,Plastic Surgery Service,18599,8797,0.47,47.30,19.26442308,54.41485714,1754,2,412
Y62,NORTH WEST COMMISSIONING REGION,Cardiothoracic Surgery Service,1797,995,0.55,55.37,15.47435897,51.02666667,135,1,37
Y62,NORTH WEST COMMISSIONING REGION,General Internal Medicine Service,4750,3084,0.65,64.93,11.20253165,42.39285714,154,0,3
Y62,NORTH WEST COMMISSIONING REGION,Gastroenterology Service,66263,38195,0.58,57.64,14.69364332,44.16386157,2127,3,125
Y62,NORTH WEST COMMISSIONING REGION,Cardiology Service,63596,35865,0.56,56.40,15.2140825,45.23045045,2325,2,183
Y62,NORTH WEST COMMISSIONING REGION,Dermatology Service,59929,34140,0.57,56.97,14.83618844,46.0468595,2404,0,166
Y62,NORTH WEST COMMISSIONING REGION,Respiratory Medicine Service,31317,20097,0.64,64.17,12.76837524,39.3129697,605,1,74
Y62,NORTH WEST COMMISSIONING REGION,Neurology Service,18718,9078,0.48,48.50,18.69900498,45.66334764,428,0,32
Y62,NORTH WEST COMMISSIONING REGION,Rheumatology Service,15984,10180,0.64,63.69,12.47013487,43.92580153,563,1,38
